id,region,kommun_namn,age_group,population,num_minst_1_dos,num_fully_vaccinated,proportion_of_minst_1_dos,proportion_of_fully_vaccinated
2540,Norrbotten,Pajala,30-39,541,397,360,0.733826248,0.665434381
2541,Norrbotten,Pajala,40-49,460,393,368,0.8543478259999999,0.8
2542,Norrbotten,Pajala,50-59,701,656,620,0.935805991,0.884450785
2543,Norrbotten,Pajala,60-69,1001,939,915,0.9380619379999999,0.914085914
2544,Norrbotten,Pajala,70-79,974,926,908,0.950718686,0.932238193
2545,Norrbotten,Pajala,80-89,579,540,516,0.9326424870000001,0.89119171
2546,Norrbotten,Pajala,>=90,85,76,71,0.8941176470000001,0.835294118
2549,Norrbotten,Gällivare,30-39,2310,1903,1802,0.8238095240000001,0.78008658
2550,Norrbotten,Gällivare,40-49,1820,1572,1496,0.863736264,0.821978022
2551,Norrbotten,Gällivare,50-59,2314,2116,2066,0.9144338809999999,0.892826275
2552,Norrbotten,Gällivare,60-69,2434,2296,2247,0.943303205,0.9231717340000001
2553,Norrbotten,Gällivare,70-79,2020,1922,1861,0.951485149,0.9212871290000001
2554,Norrbotten,Gällivare,80-89,1224,1163,1058,0.950163399,0.864379085
2555,Norrbotten,Gällivare,>=90,268,249,224,0.929104478,0.835820896
2558,Norrbotten,_lvsbyn,30-39,915,719,669,0.78579235,0.7311475409999999
2559,Norrbotten,_lvsbyn,40-49,888,754,721,0.849099099,0.811936937
2560,Norrbotten,_lvsbyn,50-59,1025,936,908,0.913170732,0.885853659
2561,Norrbotten,_lvsbyn,60-69,1046,997,976,0.9531548759999999,0.933078394
2562,Norrbotten,_lvsbyn,70-79,1034,986,962,0.953578337,0.930367505
2563,Norrbotten,_lvsbyn,80-89,526,512,491,0.97338403,0.9334600759999999
2564,Norrbotten,_lvsbyn,>=90,145,135,129,0.931034483,0.889655172
2567,Norrbotten,Luleå,30-39,10151,8431,7983,0.8305585659999999,0.786424983
2568,Norrbotten,Luleå,40-49,9218,8166,7915,0.8858754609999999,0.858646127
2569,Norrbotten,Luleå,50-59,10505,9696,9450,0.922989053,0.899571633
2570,Norrbotten,Luleå,60-69,8760,8323,8117,0.950114155,0.9265981740000001
2571,Norrbotten,Luleå,70-79,8022,7733,7467,0.963974071,0.930815258
2572,Norrbotten,Luleå,80-89,4082,3941,3761,0.9654581090000001,0.9213620770000001
2573,Norrbotten,Luleå,>=90,891,845,792,0.948372615,0.8888888890000001
