id,region,kommun_namn,age_group,population,num_minst_1_dos,num_fully_vaccinated,proportion_of_minst_1_dos,proportion_of_fully_vaccinated
187,Stockholm,Solna,80-89,2827,2606,2466,0.921825256,0.8723027940000001
188,Stockholm,Solna,>=90,847,771,718,0.910271547,0.847697757
191,Stockholm,Lidingö,30-39,5224,4265,3872,0.8164241959999999,0.741194487
192,Stockholm,Lidingö,40-49,6791,5987,5702,0.881608011,0.839640701
193,Stockholm,Lidingö,50-59,6431,5857,5707,0.91074483,0.8874203079999999
194,Stockholm,Lidingö,60-69,4829,4448,4345,0.921101677,0.89977221
195,Stockholm,Lidingö,70-79,4869,4666,4523,0.958307661,0.92893818
196,Stockholm,Lidingö,80-89,2414,2296,2171,0.951118476,0.8993372
197,Stockholm,Lidingö,>=90,778,736,685,0.946015424,0.880462725
200,Stockholm,Vaxholm,30-39,1017,840,746,0.825958702,0.73352999
201,Stockholm,Vaxholm,40-49,1661,1499,1427,0.9024683929999999,0.8591210109999999
202,Stockholm,Vaxholm,50-59,1822,1711,1661,0.9390779359999999,0.911635565
203,Stockholm,Vaxholm,60-69,1356,1285,1260,0.9476401179999999,0.92920354
204,Stockholm,Vaxholm,70-79,1501,1450,1411,0.966022652,0.940039973
205,Stockholm,Vaxholm,80-89,468,456,432,0.974358974,0.923076923
206,Stockholm,Vaxholm,>=90,117,111,109,0.9487179490000001,0.931623932
209,Stockholm,Norrtälje,30-39,7389,5724,5047,0.7746650429999999,0.68304236
210,Stockholm,Norrtälje,40-49,6762,5743,5428,0.849304939,0.802721088
211,Stockholm,Norrtälje,50-59,8569,7839,7594,0.914809196,0.886217762
212,Stockholm,Norrtälje,60-69,8435,8070,7867,0.9567279190000001,0.9326615290000001
213,Stockholm,Norrtälje,70-79,8978,8716,8548,0.970817554,0.952105146
214,Stockholm,Norrtälje,80-89,3909,3770,3649,0.964441034,0.933486825
215,Stockholm,Norrtälje,>=90,941,873,811,0.9277364509999999,0.861849097
218,Stockholm,Sigtuna,30-39,7413,4611,4008,0.622015378,0.540671793
219,Stockholm,Sigtuna,40-49,6959,5242,4864,0.753269148,0.698950999
220,Stockholm,Sigtuna,50-59,6641,5647,5433,0.8503237459999999,0.8180996840000001
221,Stockholm,Sigtuna,60-69,4359,3821,3729,0.876577197,0.8554714379999999
222,Stockholm,Sigtuna,70-79,3426,3200,3139,0.934033859,0.916228838
223,Stockholm,Sigtuna,80-89,1848,1740,1671,0.941558442,0.9042207790000001
224,Stockholm,Sigtuna,>=90,300,271,247,0.903333333,0.823333333
227,Stockholm,Nynäshamn,30-39,3719,2607,2218,0.7009948909999999,0.596396881
228,Stockholm,Nynäshamn,40-49,3520,2757,2575,0.783238636,0.7315340909999999
229,Stockholm,Nynäshamn,50-59,3999,3561,3419,0.890472618,0.8549637409999999
230,Stockholm,Nynäshamn,60-69,3222,2926,2816,0.908131595,0.87399131
231,Stockholm,Nynäshamn,70-79,3347,3145,3041,0.939647445,0.908574843
232,Stockholm,Nynäshamn,80-89,1474,1385,1327,0.9396200809999999,0.90027137
233,Stockholm,Nynäshamn,>=90,291,280,266,0.962199313,0.914089347
236,Uppsala,Håbo,30-39,2646,2142,2005,0.80952381,0.757747543
237,Uppsala,Håbo,40-49,3112,2727,2642,0.876285347,0.848971722
238,Uppsala,Håbo,50-59,3268,2971,2917,0.9091187270000001,0.892594859
239,Uppsala,Håbo,60-69,2017,1884,1849,0.9340604859999999,0.916707982
240,Uppsala,Håbo,70-79,2201,2096,2045,0.952294412,0.9291231259999999
241,Uppsala,Håbo,80-89,810,782,697,0.965432099,0.860493827
242,Uppsala,Håbo,>=90,138,124,103,0.898550725,0.7463768120000001
245,Uppsala,_lvkarleby,30-39,1087,878,828,0.807727691,0.761729531
246,Uppsala,_lvkarleby,40-49,1084,976,950,0.9003690040000001,0.8763837640000001
247,Uppsala,_lvkarleby,50-59,1307,1229,1204,0.940321347,0.9211935729999999
248,Uppsala,_lvkarleby,60-69,1212,1147,1124,0.946369637,0.9273927390000001
249,Uppsala,_lvkarleby,70-79,1179,1133,1112,0.960983885,0.94317218
250,Uppsala,_lvkarleby,80-89,521,493,478,0.946257198,0.9174664109999999
251,Uppsala,_lvkarleby,>=90,125,115,109,0.92,0.872
254,Uppsala,Knivsta,30-39,2718,2409,2272,0.8863134659999999,0.8359087559999999
255,Uppsala,Knivsta,40-49,3006,2766,2699,0.9201596809999999,0.897870925
256,Uppsala,Knivsta,50-59,2325,2225,2183,0.956989247,0.938924731
257,Uppsala,Knivsta,60-69,1551,1471,1446,0.948420374,0.932301741
258,Uppsala,Knivsta,70-79,1434,1393,1362,0.9714086470000001,0.949790795
259,Uppsala,Knivsta,80-89,501,481,459,0.96007984,0.916167665
260,Uppsala,Knivsta,>=90,116,113,110,0.9741379309999999,0.948275862
263,Uppsala,Heby,30-39,1692,1395,1325,0.824468085,0.783096927
264,Uppsala,Heby,40-49,1451,1261,1225,0.869055824,0.844245348
265,Uppsala,Heby,50-59,1870,1720,1697,0.9197860959999999,0.9074866309999999
266,Uppsala,Heby,60-69,1874,1780,1757,0.949839915,0.937566702
267,Uppsala,Heby,70-79,1710,1627,1595,0.9514619879999999,0.932748538
268,Uppsala,Heby,80-89,846,811,743,0.958628842,0.8782505909999999
269,Uppsala,Heby,>=90,198,186,167,0.939393939,0.843434343
272,Uppsala,Tierp,30-39,2532,2077,1946,0.820300158,0.768562401
273,Uppsala,Tierp,40-49,2363,2066,2008,0.874312315,0.849767245
274,Uppsala,Tierp,50-59,2857,2626,2596,0.919145957,0.908645432
275,Uppsala,Tierp,60-69,2563,2433,2401,0.94927819,0.9367928209999999
276,Uppsala,Tierp,70-79,2570,2461,2433,0.9575875490000001,0.946692607
277,Uppsala,Tierp,80-89,1197,1145,1091,0.956558062,0.91144528
278,Uppsala,Tierp,>=90,337,306,281,0.9080118690000001,0.8338278929999999
281,Uppsala,Uppsala,30-39,36061,29222,27517,0.810349131,0.763068135
282,Uppsala,Uppsala,40-49,28269,25215,24436,0.891966465,0.864409777
283,Uppsala,Uppsala,50-59,25822,24037,23626,0.930872899,0.914956239
284,Uppsala,Uppsala,60-69,21832,20539,20184,0.9407750090000001,0.9245144740000001
285,Uppsala,Uppsala,70-79,19986,19194,18798,0.960372261,0.9405583909999999
286,Uppsala,Uppsala,80-89,8488,8130,7567,0.957822809,0.891493874
287,Uppsala,Uppsala,>=90,2329,2194,1995,0.942035208,0.856590812
290,Uppsala,Enköping,30-39,6032,4994,4696,0.827917772,0.778514589
291,Uppsala,Enköping,40-49,5317,4702,4566,0.8843332709999999,0.858754937
292,Uppsala,Enköping,50-59,6209,5782,5693,0.9312288609999999,0.91689483
293,Uppsala,Enköping,60-69,5123,4848,4777,0.946320515,0.932461448
294,Uppsala,Enköping,70-79,4805,4616,4530,0.960665973,0.94276795
295,Uppsala,Enköping,80-89,2254,2142,2022,0.950310559,0.897071872
296,Uppsala,Enköping,>=90,548,512,477,0.9343065690000001,0.870437956
299,Uppsala,_sthammar,30-39,2480,2128,2028,0.8580645159999999,0.817741935
300,Uppsala,_sthammar,40-49,2299,2052,2003,0.892561983,0.871248369
301,Uppsala,_sthammar,50-59,2875,2708,2675,0.941913043,0.9304347829999999
302,Uppsala,_sthammar,60-69,3059,2980,2949,0.974174567,0.964040536
303,Uppsala,_sthammar,70-79,3164,3091,3037,0.9769279390000001,0.9598609359999999
304,Uppsala,_sthammar,80-89,1390,1334,1279,0.95971223,0.920143885
305,Uppsala,_sthammar,>=90,355,330,309,0.929577465,0.870422535
308,Södermanland,Vingåker,30-39,895,733,690,0.818994413,0.7709497209999999
309,Södermanland,Vingåker,40-49,978,829,800,0.847648262,0.81799591
310,Södermanland,Vingåker,50-59,1190,1098,1074,0.9226890759999999,0.902521008
311,Södermanland,Vingåker,60-69,1226,1148,1127,0.936378467,0.919249592
312,Södermanland,Vingåker,70-79,1279,1206,1180,0.942924159,0.9225957779999999
313,Södermanland,Vingåker,80-89,500,477,447,0.9540000000000001,0.894
314,Södermanland,Vingåker,>=90,115,108,95,0.939130435,0.826086957
317,Södermanland,Gnesta,30-39,1331,1059,941,0.795642374,0.706987228
318,Södermanland,Gnesta,40-49,1474,1207,1141,0.818860244,0.774084125
319,Södermanland,Gnesta,50-59,1482,1292,1246,0.871794872,0.840755735
320,Södermanland,Gnesta,60-69,1366,1248,1227,0.9136163979999999,0.898243045
321,Södermanland,Gnesta,70-79,1456,1387,1358,0.95260989,0.932692308
322,Södermanland,Gnesta,80-89,562,529,514,0.9412811390000001,0.914590747
323,Södermanland,Gnesta,>=90,113,104,102,0.9203539820000001,0.9026548670000001
326,Södermanland,Nyköping,30-39,6995,5550,5173,0.793423874,0.739528234
327,Södermanland,Nyköping,40-49,6620,5826,5605,0.880060423,0.846676737
328,Södermanland,Nyköping,50-59,7133,6523,6388,0.914481985,0.895555867
329,Södermanland,Nyköping,60-69,6476,6138,6058,0.947807288,0.935453984
330,Södermanland,Nyköping,70-79,6854,6585,6488,0.960752845,0.946600525
331,Södermanland,Nyköping,80-89,3384,3292,3171,0.972813239,0.937056738
332,Södermanland,Nyköping,>=90,857,790,750,0.921820303,0.875145858
335,Södermanland,Oxelösund,30-39,1392,1097,1025,0.788074713,0.736350575
336,Södermanland,Oxelösund,40-49,1293,1126,1073,0.8708430009999999,0.829853055
337,Södermanland,Oxelösund,50-59,1454,1325,1296,0.91127923,0.89133425
338,Södermanland,Oxelösund,60-69,1505,1426,1403,0.9475083059999999,0.9322259140000001
339,Södermanland,Oxelösund,70-79,1678,1583,1565,0.943384982,0.932657926
340,Södermanland,Oxelösund,80-89,844,809,793,0.958530806,0.93957346
341,Södermanland,Oxelösund,>=90,194,177,174,0.912371134,0.8969072159999999
344,Södermanland,Flen,30-39,1539,1046,940,0.679662118,0.610786225
345,Södermanland,Flen,40-49,1714,1365,1281,0.79638273,0.7473745620000001
346,Södermanland,Flen,50-59,2126,1884,1815,0.8861712140000001,0.8537158979999999
347,Södermanland,Flen,60-69,2247,2098,2045,0.933689364,0.910102359
348,Södermanland,Flen,70-79,2379,2267,2225,0.9529213959999999,0.935266919
349,Södermanland,Flen,80-89,1046,1002,945,0.95793499,0.9034416829999999
350,Södermanland,Flen,>=90,238,214,200,0.899159664,0.8403361340000001
353,Södermanland,Katrineholm,30-39,4186,3268,3110,0.7806975629999999,0.742952699
354,Södermanland,Katrineholm,40-49,3805,3309,3188,0.869645204,0.837844941
355,Södermanland,Katrineholm,50-59,4317,3958,3888,0.916840398,0.9006254340000001
356,Södermanland,Katrineholm,60-69,4134,3871,3834,0.9363812290000001,0.92743106
357,Södermanland,Katrineholm,70-79,3945,3752,3695,0.951077313,0.936628644
358,Södermanland,Katrineholm,80-89,1878,1818,1719,0.968051118,0.915335463
359,Södermanland,Katrineholm,>=90,545,509,487,0.9339449540000001,0.893577982
362,Södermanland,Eskilstuna,30-39,14046,10574,9619,0.752812189,0.6848213009999999
363,Södermanland,Eskilstuna,40-49,12840,10792,10131,0.840498442,0.7890186920000001
364,Södermanland,Eskilstuna,50-59,13835,12423,11983,0.897940007,0.86613661
365,Södermanland,Eskilstuna,60-69,11251,10379,10173,0.9224957779999999,0.904186295
366,Södermanland,Eskilstuna,70-79,10719,10185,10004,0.95018192,0.9332960159999999
367,Södermanland,Eskilstuna,80-89,4950,4705,4501,0.9505050509999999,0.909292929
368,Södermanland,Eskilstuna,>=90,1291,1180,1103,0.914020139,0.854376452
371,Södermanland,Strängnäs,30-39,4386,3419,3089,0.7795257640000001,0.7042863659999999
372,Södermanland,Strängnäs,40-49,4689,4089,3870,0.872040947,0.825335893
373,Södermanland,Strängnäs,50-59,4999,4526,4398,0.905381076,0.879775955
374,Södermanland,Strängnäs,60-69,4294,4088,4023,0.952026083,0.9368886820000001
375,Södermanland,Strängnäs,70-79,4461,4297,4205,0.963236942,0.9426137640000001
376,Södermanland,Strängnäs,80-89,1853,1769,1549,0.954668106,0.8359417159999999
377,Södermanland,Strängnäs,>=90,403,373,346,0.925558313,0.8585607940000001
380,Södermanland,Trosa,30-39,1529,1240,1117,0.8109875740000001,0.730542838
381,Södermanland,Trosa,40-49,1789,1561,1477,0.8725545,0.825600894
382,Södermanland,Trosa,50-59,1950,1778,1727,0.911794872,0.8856410259999999
383,Södermanland,Trosa,60-69,1692,1616,1593,0.955082742,0.941489362
384,Södermanland,Trosa,70-79,1953,1893,1862,0.969278034,0.953405018
385,Södermanland,Trosa,80-89,694,659,648,0.9495677229999999,0.9337175790000001
386,Södermanland,Trosa,>=90,133,129,119,0.969924812,0.894736842
389,_stergötland,_deshög,30-39,582,436,401,0.749140893,0.6890034359999999
390,_stergötland,_deshög,40-49,605,528,503,0.872727273,0.8314049590000001
391,_stergötland,_deshög,50-59,687,622,601,0.905385735,0.874818049
392,_stergötland,_deshög,60-69,667,619,604,0.928035982,0.9055472259999999
393,_stergötland,_deshög,70-79,790,738,730,0.934177215,0.924050633
394,_stergötland,_deshög,80-89,323,310,306,0.959752322,0.947368421
395,_stergötland,_deshög,>=90,92,82,80,0.891304348,0.869565217
398,_stergötland,Ydre,30-39,353,287,273,0.813031161,0.773371105
399,_stergötland,Ydre,40-49,383,322,311,0.84073107,0.8120104440000001
400,_stergötland,Ydre,50-59,478,432,425,0.90376569,0.889121339
401,_stergötland,Ydre,60-69,581,538,529,0.925989673,0.910499139
402,_stergötland,Ydre,70-79,588,567,562,0.9642857140000001,0.9557823129999999
403,_stergötland,Ydre,80-89,249,228,192,0.915662651,0.771084337
404,_stergötland,Ydre,>=90,68,61,53,0.897058824,0.779411765
407,_stergötland,Kinda,30-39,1081,924,868,0.854764107,0.8029602220000001
408,_stergötland,Kinda,40-49,1084,963,931,0.8883763840000001,0.8588560890000001
409,_stergötland,Kinda,50-59,1339,1257,1229,0.9387602690000001,0.9178491409999999
410,_stergötland,Kinda,60-69,1319,1273,1260,0.965125095,0.955269143
411,_stergötland,Kinda,70-79,1311,1285,1274,0.9801678109999999,0.971777269
412,_stergötland,Kinda,80-89,657,632,576,0.96194825,0.8767123290000001
413,_stergötland,Kinda,>=90,173,171,138,0.988439306,0.7976878609999999
416,_stergötland,Boxholm,30-39,603,504,470,0.835820896,0.779436153
417,_stergötland,Boxholm,40-49,552,494,482,0.894927536,0.8731884059999999
418,_stergötland,Boxholm,50-59,793,737,725,0.929382093,0.914249685
419,_stergötland,Boxholm,60-69,753,710,700,0.9428950859999999,0.9296148740000001
420,_stergötland,Boxholm,70-79,764,733,727,0.959424084,0.951570681
421,_stergötland,Boxholm,80-89,312,298,269,0.955128205,0.862179487
422,_stergötland,Boxholm,>=90,82,72,59,0.87804878,0.719512195
425,_stergötland,_tvidaberg,30-39,1239,1077,1031,0.869249395,0.83212268
426,_stergötland,_tvidaberg,40-49,1328,1177,1143,0.8862951809999999,0.860692771
427,_stergötland,_tvidaberg,50-59,1576,1447,1419,0.9181472079999999,0.900380711
428,_stergötland,_tvidaberg,60-69,1419,1374,1364,0.9682875259999999,0.96124031
429,_stergötland,_tvidaberg,70-79,1514,1462,1438,0.965653897,0.9498018490000001
430,_stergötland,_tvidaberg,80-89,772,741,688,0.95984456,0.89119171
431,_stergötland,_tvidaberg,>=90,175,169,141,0.965714286,0.805714286
434,_stergötland,Finspång,30-39,2575,2067,1922,0.8027184470000001,0.746407767
435,_stergötland,Finspång,40-49,2506,2106,2044,0.8403830809999999,0.815642458
436,_stergötland,Finspång,50-59,2898,2641,2584,0.91131815,0.891649413
437,_stergötland,Finspång,60-69,2640,2459,2417,0.9314393940000001,0.9155303029999999
438,_stergötland,Finspång,70-79,2708,2596,2557,0.958641064,0.9442392909999999
439,_stergötland,Finspång,80-89,1334,1269,1161,0.951274363,0.870314843
440,_stergötland,Finspång,>=90,329,299,258,0.90881459,0.7841945290000001
443,_stergötland,Valdemarsvik,30-39,774,570,539,0.7364341090000001,0.696382429
444,_stergötland,Valdemarsvik,40-49,757,648,628,0.856010568,0.8295904890000001
445,_stergötland,Valdemarsvik,50-59,1046,949,933,0.9072657740000001,0.891969407
446,_stergötland,Valdemarsvik,60-69,1105,1044,1036,0.94479638,0.937556561
447,_stergötland,Valdemarsvik,70-79,1332,1267,1256,0.9512012009999999,0.9429429429999999
448,_stergötland,Valdemarsvik,80-89,520,494,486,0.95,0.934615385
449,_stergötland,Valdemarsvik,>=90,142,128,123,0.9014084509999999,0.8661971829999999
452,_stergötland,Linköping,30-39,23199,18852,17927,0.8126212340000001,0.772748825
453,_stergötland,Linköping,40-49,19884,17704,17203,0.890364112,0.865167974
454,_stergötland,Linköping,50-59,19342,17820,17516,0.9213111359999999,0.9055940440000001
455,_stergötland,Linköping,60-69,15323,14531,14354,0.948312994,0.9367617309999999
456,_stergötland,Linköping,70-79,13650,13148,12982,0.963223443,0.951062271
457,_stergötland,Linköping,80-89,7218,6951,6514,0.963009144,0.902466057
458,_stergötland,Linköping,>=90,1999,1883,1724,0.941970985,0.862431216
461,_stergötland,Norrköping,30-39,19801,15066,14187,0.760870663,0.7164789659999999
462,_stergötland,Norrköping,40-49,17755,14950,14388,0.842016333,0.810363278
463,_stergötland,Norrköping,50-59,18052,16062,15694,0.889762907,0.869377354
464,_stergötland,Norrköping,60-69,14986,13806,13617,0.921259843,0.9086480720000001
465,_stergötland,Norrköping,70-79,13835,13051,12871,0.9433321290000001,0.930321648
466,_stergötland,Norrköping,80-89,6446,6051,5497,0.938721688,0.8527769159999999
467,_stergötland,Norrköping,>=90,1614,1482,1323,0.918215613,0.819702602
470,_stergötland,Söderköping,30-39,1630,1384,1306,0.849079755,0.8012269940000001
471,_stergötland,Söderköping,40-49,1766,1584,1539,0.8969422420000001,0.871460929
472,_stergötland,Söderköping,50-59,1955,1842,1809,0.942199488,0.9253196929999999
473,_stergötland,Söderköping,60-69,1879,1810,1792,0.96327834,0.953698776
474,_stergötland,Söderköping,70-79,1922,1870,1857,0.9729448490000001,0.9661810609999999
475,_stergötland,Söderköping,80-89,799,759,741,0.949937422,0.9274092620000001
476,_stergötland,Söderköping,>=90,182,172,168,0.945054945,0.923076923
479,_stergötland,Motala,30-39,5138,4161,3914,0.80984819,0.76177501
480,_stergötland,Motala,40-49,5088,4504,4358,0.8852201259999999,0.856525157
481,_stergötland,Motala,50-59,5948,5464,5364,0.91862811,0.901815736
482,_stergötland,Motala,60-69,5398,5111,5042,0.94683216,0.934049648
483,_stergötland,Motala,70-79,5054,4860,4782,0.9616145629999999,0.946181243
484,_stergötland,Motala,80-89,2427,2289,2104,0.9431396790000001,0.866913885
485,_stergötland,Motala,>=90,638,592,553,0.927899687,0.86677116
488,_stergötland,Vadstena,30-39,699,614,582,0.878397711,0.8326180259999999
489,_stergötland,Vadstena,40-49,724,650,630,0.897790055,0.870165746
490,_stergötland,Vadstena,50-59,1038,966,945,0.9306358379999999,0.9104046240000001
491,_stergötland,Vadstena,60-69,1045,998,987,0.9550239229999999,0.9444976079999999
492,_stergötland,Vadstena,70-79,1259,1229,1203,0.976171565,0.9555202540000001
493,_stergötland,Vadstena,80-89,580,565,465,0.9741379309999999,0.801724138
494,_stergötland,Vadstena,>=90,150,142,117,0.946666667,0.78
497,_stergötland,Mjölby,30-39,3498,2996,2867,0.856489423,0.8196112059999999
498,_stergötland,Mjölby,40-49,3531,3155,3092,0.893514585,0.8756726140000001
499,_stergötland,Mjölby,50-59,3551,3268,3207,0.92030414,0.90312588
500,_stergötland,Mjölby,60-69,3005,2859,2827,0.951414309,0.9407653909999999
501,_stergötland,Mjölby,70-79,3020,2939,2903,0.973178808,0.961258278
502,_stergötland,Mjölby,80-89,1440,1386,1322,0.9625,0.918055556
503,_stergötland,Mjölby,>=90,381,360,330,0.94488189,0.866141732
506,Jönköping,Aneby,30-39,876,699,649,0.797945205,0.74086758
507,Jönköping,Aneby,40-49,739,641,623,0.867388363,0.8430311229999999
508,Jönköping,Aneby,50-59,864,795,779,0.9201388890000001,0.90162037
509,Jönköping,Aneby,60-69,936,863,853,0.922008547,0.9113247859999999
510,Jönköping,Aneby,70-79,760,727,722,0.956578947,0.95
511,Jönköping,Aneby,80-89,337,324,320,0.961424332,0.949554896
512,Jönköping,Aneby,>=90,81,78,77,0.962962963,0.950617284
515,Jönköping,Gnosjö,30-39,1165,808,764,0.693562232,0.655793991
516,Jönköping,Gnosjö,40-49,1201,977,941,0.8134887590000001,0.7835137390000001
517,Jönköping,Gnosjö,50-59,1334,1184,1166,0.8875562220000001,0.874062969
518,Jönköping,Gnosjö,60-69,1092,1005,996,0.92032967,0.9120879120000001
519,Jönköping,Gnosjö,70-79,1025,977,964,0.953170732,0.940487805
520,Jönköping,Gnosjö,80-89,421,399,388,0.947743468,0.921615202
521,Jönköping,Gnosjö,>=90,142,130,118,0.915492958,0.830985915
524,Jönköping,Mullsjö,30-39,879,687,649,0.781569966,0.738339022
525,Jönköping,Mullsjö,40-49,861,743,708,0.862950058,0.822299652
526,Jönköping,Mullsjö,50-59,899,816,810,0.907675195,0.901001112
527,Jönköping,Mullsjö,60-69,848,794,787,0.936320755,0.928066038
528,Jönköping,Mullsjö,70-79,974,930,916,0.9548254620000001,0.940451745
529,Jönköping,Mullsjö,80-89,365,348,270,0.953424658,0.739726027
530,Jönköping,Mullsjö,>=90,114,107,89,0.938596491,0.7807017540000001
533,Jönköping,Habo,30-39,1762,1558,1477,0.8842224740000001,0.838251986
534,Jönköping,Habo,40-49,1691,1511,1468,0.89355411,0.86812537
535,Jönköping,Habo,50-59,1454,1292,1253,0.888583219,0.86176066
536,Jönköping,Habo,60-69,1188,1115,1097,0.938552189,0.923400673
537,Jönköping,Habo,70-79,1187,1142,1121,0.9620893009999999,0.9443976409999999
538,Jönköping,Habo,80-89,487,472,455,0.9691991790000001,0.934291581
539,Jönköping,Habo,>=90,90,85,79,0.944444444,0.877777778
542,Jönköping,Gislaved,30-39,3427,2434,2288,0.7102421940000001,0.667639335
543,Jönköping,Gislaved,40-49,3555,2889,2778,0.812658228,0.781434599
544,Jönköping,Gislaved,50-59,4223,3736,3679,0.884679138,0.8711816240000001
545,Jönköping,Gislaved,60-69,3397,3128,3087,0.920812482,0.908743009
546,Jönköping,Gislaved,70-79,2925,2771,2728,0.947350427,0.932649573
547,Jönköping,Gislaved,80-89,1520,1429,1346,0.9401315790000001,0.885526316
548,Jönköping,Gislaved,>=90,415,393,370,0.9469879520000001,0.891566265
551,Jönköping,Vaggeryd,30-39,1972,1505,1391,0.7631845840000001,0.705375254
552,Jönköping,Vaggeryd,40-49,1767,1474,1412,0.83418223,0.79909451
553,Jönköping,Vaggeryd,50-59,1877,1623,1586,0.864677677,0.84496537
554,Jönköping,Vaggeryd,60-69,1589,1449,1429,0.9118942729999999,0.899307741
555,Jönköping,Vaggeryd,70-79,1447,1382,1367,0.955079475,0.9447131999999999
556,Jönköping,Vaggeryd,80-89,664,626,602,0.9427710840000001,0.9066265059999999
557,Jönköping,Vaggeryd,>=90,176,166,152,0.943181818,0.8636363640000001
560,Jönköping,Jönköping,30-39,19711,14772,13701,0.749429253,0.69509411
561,Jönköping,Jönköping,40-49,17152,14588,14004,0.85051306,0.816464552
562,Jönköping,Jönköping,50-59,17349,15525,15157,0.894864257,0.87365266
563,Jönköping,Jönköping,60-69,13752,12759,12580,0.927792321,0.914776033
564,Jönköping,Jönköping,70-79,13108,12561,12326,0.9582697590000001,0.9403417759999999
565,Jönköping,Jönköping,80-89,6657,6363,5954,0.955835962,0.894396875
566,Jönköping,Jönköping,>=90,1839,1740,1518,0.946166395,0.8254486129999999
569,Jönköping,Nässjö,30-39,3992,3021,2776,0.756763527,0.695390782
570,Jönköping,Nässjö,40-49,3480,2894,2773,0.831609195,0.79683908
571,Jönköping,Nässjö,50-59,4065,3614,3543,0.889052891,0.8715867159999999
572,Jönköping,Nässjö,60-69,3593,3357,3286,0.934316727,0.914556081
573,Jönköping,Nässjö,70-79,3351,3214,3147,0.959116682,0.93912265
574,Jönköping,Nässjö,80-89,1568,1495,1357,0.953443878,0.865433673
575,Jönköping,Nässjö,>=90,475,437,402,0.92,0.846315789
578,Jönköping,Värnamo,30-39,4216,3222,3038,0.7642314990000001,0.720588235
579,Jönköping,Värnamo,40-49,4021,3416,3315,0.849539915,0.8244217859999999
580,Jönköping,Värnamo,50-59,4721,4232,4138,0.89642025,0.876509214
581,Jönköping,Värnamo,60-69,4249,3969,3918,0.9341021420000001,0.922099317
582,Jönköping,Värnamo,70-79,3492,3338,3281,0.955899198,0.939576174
583,Jönköping,Värnamo,80-89,1859,1768,1594,0.951048951,0.8574502420000001
584,Jönköping,Värnamo,>=90,463,428,371,0.9244060479999999,0.801295896
587,Jönköping,Sävsjö,30-39,1275,948,885,0.743529412,0.694117647
588,Jönköping,Sävsjö,40-49,1319,1021,981,0.774071266,0.743745262
589,Jönköping,Sävsjö,50-59,1493,1291,1250,0.8647019420000001,0.837240455
590,Jönköping,Sävsjö,60-69,1301,1190,1170,0.914681015,0.8993082240000001
591,Jönköping,Sävsjö,70-79,1362,1273,1258,0.9346549190000001,0.9236417029999999
592,Jönköping,Sävsjö,80-89,659,618,602,0.9377845220000001,0.913505311
593,Jönköping,Sävsjö,>=90,205,193,184,0.941463415,0.897560976
596,Jönköping,Vetlanda,30-39,3119,2447,2255,0.7845463290000001,0.722988137
597,Jönköping,Vetlanda,40-49,3056,2574,2471,0.842277487,0.808573298
598,Jönköping,Vetlanda,50-59,3610,3265,3199,0.9044321329999999,0.8861495840000001
599,Jönköping,Vetlanda,60-69,3295,3076,3032,0.93353566,0.9201820940000001
600,Jönköping,Vetlanda,70-79,3219,3097,3070,0.962100031,0.953712333
601,Jönköping,Vetlanda,80-89,1612,1553,1492,0.9633995040000001,0.925558313
602,Jönköping,Vetlanda,>=90,475,441,416,0.928421053,0.8757894740000001
605,Jönköping,Eksjö,30-39,2112,1692,1580,0.8011363640000001,0.748106061
606,Jönköping,Eksjö,40-49,1914,1658,1588,0.866248694,0.829676071
607,Jönköping,Eksjö,50-59,2248,2005,1962,0.891903915,0.872775801
608,Jönköping,Eksjö,60-69,2269,2125,2103,0.9365359190000001,0.9268400179999999
609,Jönköping,Eksjö,70-79,2122,2036,2011,0.9594721959999999,0.947690858
610,Jönköping,Eksjö,80-89,1066,1007,983,0.944652908,0.922138837
611,Jönköping,Eksjö,>=90,301,284,277,0.943521595,0.9202657809999999
614,Jönköping,Tranås,30-39,2140,1730,1621,0.808411215,0.7574766359999999
615,Jönköping,Tranås,40-49,2090,1808,1761,0.86507177,0.842583732
616,Jönköping,Tranås,50-59,2433,2213,2171,0.9095766540000001,0.8923140159999999
617,Jönköping,Tranås,60-69,2042,1931,1908,0.945641528,0.934378061
618,Jönköping,Tranås,70-79,2220,2160,2146,0.972972973,0.966666667
619,Jönköping,Tranås,80-89,1257,1209,1132,0.961813842,0.900556881
620,Jönköping,Tranås,>=90,351,335,307,0.954415954,0.874643875
623,Kronoberg,Uppvidinge,30-39,1116,771,693,0.690860215,0.620967742
624,Kronoberg,Uppvidinge,40-49,1091,866,811,0.793767186,0.74335472
625,Kronoberg,Uppvidinge,50-59,1259,1071,1033,0.850675139,0.820492454
626,Kronoberg,Uppvidinge,60-69,1109,1008,992,0.9089269609999999,0.8944995490000001
627,Kronoberg,Uppvidinge,70-79,1117,1030,1002,0.922112802,0.897045658
628,Kronoberg,Uppvidinge,80-89,553,519,490,0.9385171790000001,0.8860759490000001
629,Kronoberg,Uppvidinge,>=90,175,159,146,0.9085714290000001,0.8342857140000001
632,Kronoberg,Lessebo,30-39,942,711,654,0.75477707,0.6942675159999999
633,Kronoberg,Lessebo,40-49,1009,835,802,0.827552032,0.794846383
634,Kronoberg,Lessebo,50-59,1070,936,906,0.874766355,0.8467289720000001
635,Kronoberg,Lessebo,60-69,988,915,890,0.92611336,0.900809717
